organization_id,supervising_agency_id,agency_id,bureau_office,division,department,section,team,unit
1470,45,45,,施設計画課,内部部局/整備計画局,施設政策室,施設政策班,
1471,45,45,,厚生課,内部部局/人事教育局,,,
1472,45,45,,会計課,内部部局/大臣官房,,機関等予算班,機関等予算第３係
1473,45,45,,人材育成課,内部部局/人事教育局,援護企画室,,
1474,45,45,,人材育成課,内部部局/人事教育局,人材確保推進室,,
1475,45,45,,人材育成課,内部部局/人事教育局,,人材育成室,
1476,45,45,防衛装備庁,技術振興官,技術戦略部,,,
1477,45,45,防衛装備庁,装備政策課,装備政策部,防衛産業政策室,,
1478,45,45,防衛装備庁,国際装備課,装備政策部,,,
1479,45,45,防衛装備庁,装備技術官（海上担当）,プロジェクト管理部,,海上技術班,
1480,45,45,防衛装備庁,人事官,長官官房,人材育成センター,,
1481,45,45,,防衛計画課,内部部局/整備計画局,,,
1482,45,45,防衛装備庁,調達企画課,調達管理部,類別・標準化企画室,,
1483,45,45,,調査課,内部部局/防衛政策局,,,
1484,45,45,,衛生官,内部部局/人事教育局,,総括班,
1485,45,45,,地域社会協力総括課,内部部局/地方協力局,,一般防音班,
1486,45,45,,地域社会協力総括課,内部部局/地方協力局,,施設対策班,
1487,45,45,,環境政策課,内部部局/地方協力局,提供・返還室,提供・緑化班,
1488,45,45,,地域社会協力総括課,内部部局/地方協力局,,住宅防音班,
1489,45,45,,環境政策課,内部部局/地方協力局,用地取得室,用地取得班,賃借契約第２係
1490,45,45,,総務課,内部部局/地方協力局,,予算班,
1491,45,45,,広報課,内部部局/大臣官房,総括班,,
1492,45,45,,地域社会協力総括課,内部部局/地方協力局,,交付金班,
1493,45,45,,戦略企画参事官,内部部局/防衛政策局,,,
1494,45,45,,在日米軍協力課,内部部局/地方協力局,,訓練協力班,
1495,45,45,,労務管理課,内部部局/地方協力局,,,
1496,45,45,,在日米軍協力課,内部部局/地方協力局,,総括班,
1497,45,45,,在日米軍協力課,内部部局/地方協力局,,提供施設整備班,整備計画第１係
1498,45,45,統合幕僚監部,,首席参事官,,,
1499,45,45,,国際政策課,内部部局/防衛政策局,,,
1500,45,45,,インド太平洋地域参事官,内部部局/防衛政策局,,能力構築支援班,
1501,45,45,,戦略企画参事官,内部部局/防衛政策局,宇宙・海洋政策室,,
1502,45,45,,人事計画・補任課,内部部局/人事教育局,,制度企画班,
1503,14,14,戦略・組織,デジタル改革企画２：法制・制度担当,,,,
1504,10,10,事務局,監督総括課,監督調査部,,,
1505,14,14,省庁業務サービス,政府共通決済基盤担当,,,,
1506,1,1,副長官補付,拉致問題対策本部事務局,,,,
1507,4,4,科学技術・イノベーション推進事務局,参事官（原子力担当）,,,,
1508,14,14,デジタル社会共通機能,,,預貯金二法担当,,
1509,14,14,省庁業務サービス,登記関係システム・業務ＤＸ担当,,,,
1510,1,1,副長官補付,全世代型社会保障構築本部事務局,,,,
1511,4,4,政策統括官（経済安全保障担当）,参事官（総括・企画担当）,,,,
1512,26,26,国立教育政策研究所,企画課,社会教育実践研究センター,,,
1513,14,14,省庁業務サービス,ガバメントソリューションサービス担当,,,,
1514,14,14,省庁業務サービス,ガバメントクラウド担当,,,,
1515,14,14,デジタル社会共通機能,情報連携基盤刷新担当　情報連携基盤刷新班,,,,
1516,14,14,デジタル社会共通機能,ベース・レジストリ担当,,,,
1517,14,14,省庁業務サービス,ＧＩＭＡ担当,,,,
1518,14,14,国民向けサービス,,,国家資格デジタル化班,,
1519,14,14,国民向けサービス,,,省庁統一ウェブサイト班,,
1520,14,14,国民向けサービス,,,電子調達システム／調達ポータル班,,
1521,14,14,国民向けサービス,,,電子契約システム（工事・業務）班,,
1522,14,14,国民向けサービス,,,ＶｉｓｉｔＪａｐａｎＷｅｂ班,,
1523,14,14,国民向けサービス,,,スマホ搭載班,,
1524,14,14,国民向けサービス,,,マイナンバーカード・ＯＳＳ総括,,
1525,14,14,省庁業務サービス,人事・給与関係業務情報システム担当,,,,
1526,14,14,省庁業務サービス,国家公務員身分証共通発行管理システム担当,,,,
1527,14,14,国民向けサービス,準公共・相互連携担当,,,,
1528,14,14,戦略・組織,セキュリティ危機管理担当,,,,
1529,14,14,国民向けサービス,デジタル推進委員班,,,,
1530,45,45,防衛装備庁,調達企画課,調達管理部,有償援助調達管理室,,
1531,11,11,監督局,保険課,,,,
1532,12,12,,取引対策課,,取引デジタルプラットフォーム消費者保護室,,
1533,26,26,総合教育政策局,参事官（調査企画担当）,,,,統計活用推進係
1534,29,29,人材開発統括官,,,海外人材育成担当参事官室,,管理係
1535,16,16,自治行政局,地域政策課,,地域情報化企画室,,地域情報化第二係
1536,16,16,国際戦略局,宇宙通信政策課,,,,衛星開発係
1537,16,16,自治行政局,市町村課,,,,
1538,16,16,総合通信基盤局,データ通信課,電気通信事業部,,,
1539,16,16,自治行政局,地域ＤＸ推進室,,,,
1540,38,38,水管理・国土保全局,下水道事業課,,事業マネジメント推進室,,
1541,24,24,関税局,調査課,,,,
1542,34,36,,普及支援課,総務部,,地域調整班,地域業務第一係
1543,43,43,大臣官房,総合政策課,,環境研究技術室,,調整係
1544,29,29,年金局,事業管理課,,,,収納対策・交付金係
1545,29,29,老健局,老人保健課,,,,予算係
1546,38,38,国土技術政策総合研究所,住宅計画研究室,住宅研究部,,,
1547,38,38,国土技術政策総合研究所,都市防災研究室,都市研究部,,,
1548,38,38,国土技術政策総合研究所,空港施工システム室,空港研究部,,,
1549,43,43,大臣官房,企画課,環境保健部,熱中症対策室,,
1550,43,43,大臣官房,総務課,,危機管理・災害対策室,,
1551,16,16,情報流通行政局,衛星・地域放送課,,,,
1552,16,16,国際戦略局,国際戦略課,,投資審査室,,
1553,29,29,医政局,参事官（特定医薬品開発支援・医療情報担当）,,ワクチン等開発室,,
1554,26,26,高等教育局,医学教育課,,,,薬学教育係
1555,29,29,職業安定局,雇用政策課,,,,
1556,26,28,,文化経済・国際課,,新文化芸術創造室,,
1557,26,26,初等中等教育局,幼児教育課,,,,指導係
1558,26,26,科学技術・学術政策局,産業連携・地域振興課,,拠点形成・地域振興室,,地域係
1559,26,26,科学技術・学術政策局,研究環境課,,研究公正推進室,,
1560,26,27,,競技スポーツ課,,,,
1561,26,26,大臣官房,人事課,,,栄典班,栄典第三係
1562,26,26,総合教育政策局,参事官（調査企画担当）,,学力調査室,,学力調査推進係
1563,31,31,農産局,園芸作物課,,園芸流通加工対策室,,
1564,45,45,,戦略企画参事官,内部部局/防衛政策局,,統合防空ミサイル防衛政策班,
1565,45,45,,環境政策課,内部部局/地方協力局,,エネルギー班,
1566,45,45,防衛装備庁,事業計画官,プロジェクト管理部,企画室,維持整備企画班,
1567,45,45,,地域社会協力総括課,内部部局/地方協力局,,政策企画班,
1568,31,31,大臣官房,新事業・食品産業政策課,新事業・食品産業部,ファイナンス室,,
1569,31,31,農産局,企画課,農産政策部,,,
1570,31,31,大臣官房,食品製造課,新事業・食品産業部,原材料調達・品質管理改善室,,
1571,45,45,,人事計画・補任課,内部部局/人事教育局,,総括班,総括係
1572,34,34,大臣官房,厚生企画室,,,,
1573,11,11,総合政策局,リスク分析総括課,,貸金業室,,
1574,34,34,大臣官房,情報システム室,,,,
1575,34,34,大臣官房産業保安・安全G,電力安全課,,,,
1576,34,34,イノベーション・環境局,基準認証政策課,,,,
1577,34,34,大臣官房産業保安・安全G,産業保安企画室,,,,
1578,34,34,大臣官房産業保安・安全G,ガス安全室,,,,
1579,34,34,大臣官房産業保安・安全G,化学物質管理課,,オゾン層保護等推進室,,
1580,34,34,イノベーション・環境局ＧＸグループ,環境経済室,,,,
1581,38,38,国土技術政策総合研究所,道路地震防災研究室,道路構造物研究部,,,
1582,38,38,道路局,道路交通管理課,,高度道路交通システム推進室,,
1583,38,38,道路局,道路交通管理課,,車両通行対策室,,
1584,45,45,,在日米軍協力課,内部部局/地方協力局,,,
1585,1,1,副長官補付,別室,,,,
1586,4,4,政策統括官（共生・共助担当）,参事官（性的指向・ジェンダーアイデンティティ理解増進担当）,,,,
1587,4,4,政策統括官（共生・共助担当）,政策統括官（共生・共助担当）　孤独・孤立対策推進室,,,,
1588,6,6,,,,,,事務総局経済取引局/企業結合課
1589,6,6,,,,,,事務総局審査局/管理企画課
1590,6,6,,,,,,事務総局経済取引局取引部/取引企画課
1591,6,6,,,,,,事務総局経済取引局取引部/企業取引課
1592,6,6,,,,,,事務総局経済取引局取引部/企業取引課下請取引調査室
1593,6,6,,,,,,事務総局官房/総務課
1594,6,6,,,,,,事務総局官房/国際課
1595,6,6,,,,,,事務総局経済取引局/調整課
1596,6,6,,,,,総務課デジタル市場企画調査室,事務総局経済取引局//
1597,8,8,警察庁,警備第二課,警備局警備運用部,,,
1598,11,11,監督局,総務課,,,,
1599,13,13,長官官房,参事官（総合政策担当）,,,,
1600,13,13,長官官房,総務課,,,,企画係
1601,13,13,成育局,母子保健課,,,,
1602,13,13,成育局,保育政策課,,,,
1603,13,13,成育局,保育政策課,,公定価格担当室,,
1604,13,13,成育局,保育政策課,,認可外保育施設担当室,,
1605,13,13,成育局,成育基盤企画課,,,,
1606,13,13,成育局,成育環境課,,,,
1607,13,13,成育局,成育環境課,,児童手当管理室,,
1608,13,13,成育局,参事官（事業調整担当）,,,,
1609,13,13,成育局,安全対策課,,,,
1610,13,13,支援局,総務課,,,,
1611,13,13,支援局,虐待防止対策課,,,,
1612,13,13,支援局,家庭福祉課,,,,
1613,13,13,支援局,家庭福祉課,,ひとり親家庭等支援室,,
1614,13,13,支援局,障害児支援課,,,,
1615,13,13,長官官房,参事官（会計担当）,,,,
1616,13,13,長官官房,総務課,,,,
1617,13,13,成育局,総務課,,,,
1618,14,14,国民向けサービス,,,マイナポータル班,,
1619,14,14,デジタル社会共通機能,,,情報連携基盤担当　ＮＷＳ班,,
1620,14,14,デジタル社会共通機能,,,情報連携基盤担当　ＪーＬＩＳ班,,
1621,14,14,戦略・組織,広報・コミュニケーション担当,,,広報総括班,
1622,14,14,戦略・組織,セキュリティ危機管理担当,,,インシデント対応総括班,
1623,14,14,国民向けサービス,,,ＯＳＳ班,,
1624,14,14,国民向けサービス,,,データ戦略・企業間取引班,,
1625,14,14,国民向けサービス,新地方創生班,,,,
1626,14,14,デジタル社会共通機能,,,マイナンバー制度・公的個人認証法担当,,
1627,14,14,省庁業務サービス,職員ＩＤ基盤担当,,,,
1628,14,14,国民向けサービス,,,デジタル認証アプリ班,,
1629,14,14,国民向けサービス,,,フロントサービスＡＰＩ基盤班,,
1630,14,14,省庁業務サービス,総合運用・監視システム／常時リスク診断・対処システム,,,,
1631,14,14,省庁業務サービス,情報システム担当,,,,
1632,14,14,戦略・組織,人事担当,,インナーコミュニケーション班,,
1633,14,14,デジタル社会共通機能,,,トラスト担当　トラスト班,,
1634,14,14,省庁業務サービス,総括担当,,,,
1635,15,15,,,,,地方創生・万博・法制班,
1636,15,15,,,,,制度班,
1637,15,15,,,,,広報班,
1638,15,15,,,,,インフラ・住宅班,
1639,16,16,行政管理局,企画調整課,,,,
1640,16,16,行政管理局,公共サービス改革推進室,,,,
1641,16,16,行政管理局,管理官室,,,,
1642,16,16,自治行政局,公務員課,公務員部,給与能率推進室,,
